title,director,cast,country,release_year,rating,listed_in,description,runtime
Scenes of a Sexual Nature,Ed Blum,"Tom Hardy, Ewan McGregor, Mark Strong, Andrew Lincoln, Hugh Bonneville, Gina McKee, Catherine Tate, Douglas Hodge, Polly Walker",United Kingdom,2006,16+,"Comedy, Drama, Romance","This British comedy stars an incredible home-grown cast including Tom Hardy (Mad Max: Fury Road), Ewan McGregor, (Trainspotting), Catherine Tate (Doctor Who), Mark Strong (1917), Hugh Bonneville (Notting Hill), Andrew Lincoln (Love Actually) and Adrian Lester (The Day After Tomorrow). On the lush green lawns of London's Hampstead Heath, a variety of couples sort through their romantic dilemmas.",92
Santa Who?,William Dear,"Leslie Nielsen, Robyn Lively, Steven Eckholdt, Tommy Davidson, Max Morrow",United States,2000,ALL,Comedy,"In this heart-warming Christmas tale, the real Santa Claus (Leslie Nielsen) tumbles out of his sleigh and develops amnesia. He soon comes across a jaded TV reporter who is his only hope for getting his memory back in time to save the holiday.",92
Patriot Games,Phillip Noyce,"Harrison Ford, Anne Archer, Patrick Bergin, Sean Bean, James Earl Jones, Thora Birch, James Fox, Samuel L. Jackson, Polly Walker, J.E. Freeman[",United States,1992,R,"Action, Drama, Suspense",Jack Ryan is caught in the middle of a terrorist attack. Ryan helps to thwart Holmes' assailants and becomes a local hero. But Ryan's act marks him as a target. Now he must return to action to save his family.,117
Lost: MH370,Caro Meldrum-Hanna,,Australia,2014,13+,Documentary,"What really happened to Flight MH370? This probing investigation reveals shocking new information about the sequence of events in the minutes and hours following the plane's disappearance. Forensically reconstructing the timeline, this incisive doc throws up some uncomfortable questions for the Malaysian authorities. Could this great modern aviation mystery have been averted altogether?",43
"Big Mommas: Like Father, Like Son",John Whitesell,"Martin Lawrence, Brandon T. Jackson, Jessica Lucas",United States,2011,PG-13,Comedy,HD. 'Big Momma' is dragged out of mothballs when FBI man Martin Lawrence must go undercover – in a girls school.,107
Armageddon,Michael Bay,"Bruce Willis, Billy Thornton, Liv Tyler, Ben Affleck, Will Patton, Peter Stormare, Keith David",United States,1998,PG-13,"Action, Adventure",A large asteroid is heading directly toward Earth.,151
Dirty 30,Andrew Bush,"Mamrie Hart, Grace Helbig, Hannah Hart",United States,2016,PG-13,Comedy,"On the eve of Kate's (Mamrie Hart) 30th birthday, friends Evie (Grace Helbig) and Charlie (Hannah Hart) offer to throw her a party. But the celebration quickly spirals out of control.",87
Blue Mountain State: The Rise Of Thadland,Lev L. Spiro,"Alan Ritchson, Chris Romano, Darin Brooks, James Cade, Frankie Shaw",United States,2016,R,Comedy,"When a Blue Mountain State dean threatens to close the Goat House, Alex and the team must lure Thad Castle back from the NFL with the biggest booze-and-sloot fest in BMS history.",90
Stuart Little 2,Rob Minkoff,"Geena Davis, Michael J. Fox, Hugh Laurie, Nathan Lane, Jonathan Lipnicki, Melanie Griffith, James Woods, Steve Zahn, Rachael Harris",United States,2002,PG,"Comedy, Kids, Science Fiction","The brave and pint-sized hero Stuart Little (Michael J. Fox) returns in Stuart Little 2, delightingaudiences with his big heart and even more action-packed adventure. This time, Stuart must journey through the city with reluctant Snowbell (Nathan Lane) to rescue a new friend, Margalo (Melanie Griffith), from a villainous Falcon (James Woods).",78
She's Out of My League,Jim Field Smith,"Jay Baruchel, Alice Eve, T.J. Miller, Mike Vogel, Nate Torrance, Krysten Ritter, Geoff Stults, Lindsay Sloane, Kyle Bornheimer",United States,2010,R,"Comedy, Romance","In this outrageous comedy, Kirk (Jay Baruchel, Knocked Up, Tropic Thunder), an average guy, can't believe his luck when the successful and gorgeous babe Molly (Alice Eve, Sex and the City 2) falls for him. His smart-ass friends, his crazy family, and even his obnoxious ex-girlfriend are just as shocked as he is. Now, see what the critics are calling a ""rowdy blast""* as Kirk goes to great lengths - including some hardcore man-scaping - to make the relationship work and prove that she's not out of his league. *Peter Travers, ROLLING STONE",105
Experimenter,Michael Almereyda,"Peter Sarsgaard, Winona Ryder, Jim Gaffigan, Edoardo Ballerini, Kellan Lutz, Dennis Haysbert, Danny Abeckaser, Taryn Manning, Anton Yelchin",United States,2016,PG-13,Drama,"Stanley Milgram (Peter Sarsgaard) conducts an experiment in which people think they're delivering electric shocks to strangers. Ignoring pleas for mercy, most subjects don't stop because they've been told to go on. With Winona Ryder and Jim Gaffigan.",98
Ape vs. Monster,Daniel Lusko,"Eric Roberts, Arianna Scott, Katie Sereika, Shayne Hatigan",United States,2021,16+,Science Fiction,"An ape, lost in space, crash-lands back to Earth. The vessel oozes a sludge that triggers massive growth in both the ape, as well as a passing Gila monster. Their paths cross again, leading to a giant brawl.",88
Aashiqui 2,Mohit Suri,"Aditya Roy Kapoor, Shraddha Kapoor, Shaad Randhawa, Salil Acharya, Chitrak Bandyopadhyay, Bugs Bhargava, Ashish Bhatt, Gagan Gupta, Shubhangi Latkar, Soumyajit Majumdar, Nickk, Milind Phatak, Shekhar Shukla, Mahesh Thakur",India,2013,ALL,"International, Romance",Rahul loses his fans and fame due to alcoholism. But he then decides to turn a small time singer into a rising star.,127
Giant Little Ones,Keith Behrman,"Josh Wiggins, Darren Mann, Taylor Hickson",Canada,2019,R,"Drama, Young Adult Audience","Franky Winter (Josh Wiggins) and Ballas Kohl (Darren Mann) have been best friends since childhood. They are high school royalty: handsome, stars of the swim team and popular with girls. They live a perfect teenage life - until the night of Franky's epic 17th birthday party, when Franky and Ballas are involved in an unexpected incident that changes their lives forever.",93
The Report,Scott Z. Burns,"Adam Driver, Annette Bening, Jon Hamm, Corey Stoll, Maura Tierney, Michael C. Hall, Ted Levine, Tim Blake Nelson",United States,2019,R,Military and War,"In a thriller based on actual events, an idealistic Senate staffer leads an investigation into the CIA’s post-9/11 Detention and Interrogation Program, uncovering the lengths to which the agency went to hide a brutal secret from the American public.",120
The Priest (Tamil),Jofin T. Chacko,"Mammootty, Manju Warrier, Ameya Mathew, Nikhila Vimal, Baby Monica",India,2021,13+,Suspense,"Father Carmen, a priest, joins hands with the police to investigate a series of mysterious suicides. However, he soon stumbles upon a disturbing fact that has serious consequences.",145
Attack the Block,Joe Cornish,"Adam Buxton, Jodie Whittaker, John Boyega, Alex Esmail, Franz Drameh, Leeon Jones, Simon Howard, Jumayn Hunter, Nick Frost, Luke Treadaway",United Kingdom,2011,R,"Action, Adventure, Science Fiction","Attack the Block' is a fast, funny, frightening action adventure movie that pits a teen gang against an invasion of savage alien monsters. It turns a London housing project into a sci-fi playground. A tower block into a fortress under siege. And teenage street kids into heroes. It's inner city versus outer space.",88
Sunny (4K UHD),Ranjith Sankar,Jayasurya,India,2021,PG-13,"Drama, Suspense","The life of a failed musician, sunny takes a dramatic turn as he smuggles himself back from Dubai to Kerala in midst of a global pandemic and shuts himself from the society.",93
Sunny,Ranjith Sankar,Jayasurya,India,2021,PG-13,"Drama, Suspense","The life of a failed musician, sunny takes a dramatic turn as he smuggles himself back from Dubai to Kerala in midst of a global pandemic and shuts himself from the society.",93
Copperman,Eros Puglielli,"Luca Argentero, Galatea Ranzi, Antonia Truppo",Italy,2019,7+,"Action, Drama, Fantasy","Anselmo (Luca Argentero) is a world traveler who has the innocence of a child and the heart of a lion. Abandoned by his father who believed he is a superhero, Anselmo lives with his mother, who has succeeded in convincing him that he is a special kind of human. He resembles Forrest Gump, a grown up with a pure heart, a disarming candor, a childish soul totally free from suspicions.",100
"An American Girl Story: Summer Camp, Friends For Life",Alison McDonald,"Zoe Manarel, Alison Fernandez, Lauren Donzis, Camryn Manheim, Monique Green",United States,2017,ALL,Kids,"Aspiring filmmaker, Z and Paz, a budding engineer, arrive at S.T.E.A.M. camp excited for tech heaven. When the administrator makes them explore nature and confiscates all tech, they think their summer’s doomed. Things take a mysterious turn when they meet Jordan, an enchanting “counselor” who sends them on an adventure, opening them up to a world of possibilities – like befriending Drew.",32
Windcroft,Evan Meszaros,"Joe Ryan, Vanessa Daniels, Monica Knight, Ray Wasik, Amanda Renee Knox",United States,2007,18+,"Drama, Horror, Suspense","On a remote farm in the sweeping hills of Pennsylvania, three lives are torn apart by love, abandonment, deception and murder. After the death of his father, John and his new wife, Diane, arrive to claim the estate - but, John's father bequeathed to him more than just the family farm, and he is forced to face a heritage of madness and violence.",94
Last Action Hero (4K UHD),John McTiernan,"Danny DeVito, Arnold Schwarzenegger, F. Murray Abraham, Art Carney, Charles Dance, Frank McRae, Tom Noonan, Robert Prosky, Anthony Quinn, Mercedes Ruehl, Austin O'Brien",United States,1993,PG-13,"Action, Adventure, Comedy",Don't miss this action-packed thrill ride!,131
Last Action Hero,John McTiernan,"Danny DeVito, Arnold Schwarzenegger, F. Murray Abraham, Art Carney, Charles Dance, Frank McRae, Tom Noonan, Robert Prosky, Anthony Quinn, Mercedes Ruehl, Austin O'Brien",United States,1993,PG-13,"Action, Comedy",Don't miss this action-packed thrill ride!,131
Heartbreakers,David Mirkin,"Sigourney Weaver, Jennifer Love Hewitt, Ray Liotta, Jason Lee, Jeffrey Jones, Gene Hackman, Nora Dunn, Sarah Silverman, Zach Galifianakis, Anne Bancroft",United States,2001,PG-13,Comedy,Sigourney Weaver and Jennifer Love Hewitt star as a mother-daughter con team that makes a career out of swindling men after marriage.,124
Exorcist: The Beginning,Renny Harlin,"Rupert Degas, Stellan Skarsgard, Izabella Scorupco, James D'Arcy, Ralph Brown, Ben Cross, David Bradley",United States,2004,R,"Action, Adventure, Horror",Prequel. Exorcist: The Beginning traces the story of Father Merrin back to his first encounter with the Devil during his missionary work in Africa.,113
Die Hard,John McTiernan,"Bruce Willis, Alan Rickman, Bonnie Bedelia",United States,1988,R,Suspense,"John McClane, officer of the NYPD, tries to save his wife.",132
Gli Onorevoli,Sergio Corbucci,"Peppino De Filippo, Totò",Italy,1963,13+,Comedy,"A series of candidates for the Chamber encounters difficulties during the electoral campaign: the Christian Democrat Bianca Sereni (Franca Valeri) falls in love with the photographer who wants to discredit her, Senator Rossani Breschi (Gino Cervi) is forced to stop his rally because of a gang of children, the monarchist Antonio La Trippa (Totò) torments the condominiums with endless speeches ...",99
Top Five,Chris Rock,"Chris Rock, Rosario Dawson, Gabrielle Union, Cedric The Entertainer, J.B. Smoove, Tracy Morgan, Kevin Hart",United States,2014,R,Comedy,"Written, directed and starring Chris Rock, Top Five tells the story of New York City comedian-turned-film star Andre Allen, whose unexpected encounter with a journalist forces him to confront the comedy career-and the past-that he's left behind.",102
Wishmaster,Robert Kurtzman,"Andrew Divoff, Kane Hodder, Robert Englund, Tammy Lauren, Tony Todd",United States,1997,R,"Horror, Science Fiction","From executive producer Wes Craven comes this fantasy-horror cult classic that spawned three sequels. When a jewelry appraiser is given an ancient gem, she unwittingly unleashes an immortal spirit that grants humans wishes in exchange for their souls.",90
Die Hard 2 (4K UHD),Renny Harlin,"Bruce Willis, Bonnie Bedelia, William Atherton, Reginald Veljohnson, Franco Nero, William Sadler, John Amos",United States,1990,R,"Action, Adventure",John McClane is forced to battle mercenaries who seize control of an airport's communications and threaten to cause plane crashes if their demands are not met.,123
Magari resto (Maybe I'll stay),Mario Parruccini,"Caterina Misasi, Enrico Lo Verso, Pietro De Silva, Veronica Maya, Emiliano De Martino, Rosaria De Cicco, Lucio Bastolla, Felice Avella, Pier Luigi Misasi, Sebastiano Gavasso, Valentina Corti, Noemi Giangrande, Andrea Napoleoni, Antonio Braucci",Italy,2020,13+,"Comedy, Drama","Francesca is getting ready for her wedding, when she realizes that something in her life doesn't work. She starts asking herself important questions and looking for answers, even in faith, thanks to the help of Don Fabio. At the end she stumbles upon the truth that will become the only useful element for making her choice.",97
La Cambiale,Camillo Mastrocinque,"Vittorio Gassman, Totò, Ugo Tognazzi",Italy,1959,13+,Comedy,"An industrialist, who is considered rich and instead ends up in prison for insolvency, releases to two lestofanti a bill of exchange for one hundred thousand lire. The two turn it over to the owner of a tobacco shop, who in turn gives it to the owner of a pet store...",105
Basement Jack,Michael Shelton,"Eric Peter-Kaiser, Lynn Lowry, Tiffany Shepis, Billy Morrison, Michele Morrow",United States,2009,18+,Horror,"Karen, the lone survivor of a killing spree perpetrated by a teenage serial killer that's known as ""Basement Jack"", has been living in fear that one day he would be released. Her worst nightmare comes true when a judge ordered his released. Soon, murders were occurring all over and Karen realizes that he was hunting her and that her only option is to find Jack and ends it. So the hunt began.",93
